Date,Start,Visitor,PTS,Home,PTS,,,Notes
Sat Feb 27 2016,8:00 pm,San Antonio Spurs,104,Houston Rockets,94,Box Score,,
Sat Feb 27 2016,8:30 pm,Detroit Pistons,102,Milwaukee Bucks,91,Box Score,,
Sat Feb 27 2016,7:00 pm,Minnesota Timberwolves,112,New Orleans Pelicans,110,Box Score,,
Sat Feb 27 2016,8:30 pm,Golden State Warriors,121,Oklahoma City Thunder,118,Box Score,OT,
Sat Feb 27 2016,9:30 pm,Memphis Grizzlies,106,Phoenix Suns,111,Box Score,,
Sat Feb 27 2016,9:30 pm,Brooklyn Nets,98,Utah Jazz,96,Box Score,,
Sun Feb 28 2016,3:30 pm,Charlotte Hornets,76,Atlanta Hawks,87,Box Score,,
Sun Feb 28 2016,7:00 pm,Minnesota Timberwolves,101,Dallas Mavericks,128,Box Score,,
Sun Feb 28 2016,6:00 pm,Toronto Raptors,101,Detroit Pistons,114,Box Score,,
Sun Feb 28 2016,6:00 pm,Portland Trail Blazers,111,Indiana Pacers,102,Box Score,,
Sun Feb 28 2016,7:30 pm,Miami Heat,98,New York Knicks,81,Box Score,,
Sun Feb 28 2016,6:00 pm,Philadelphia 76ers,116,Orlando Magic,130,Box Score,,
Sun Feb 28 2016,1:00 pm,Cleveland Cavaliers,99,Washington Wizards,113,Box Score,,
Mon Feb 29 2016,7:30 pm,Utah Jazz,95,Boston Celtics,100,Box Score,,
Mon Feb 29 2016,7:00 pm,Indiana Pacers,96,Cleveland Cavaliers,100,Box Score,,
Mon Feb 29 2016,9:00 pm,Memphis Grizzlies,103,Denver Nuggets,96,Box Score,,
Mon Feb 29 2016,10:30 pm,Brooklyn Nets,95,Los Angeles Clippers,105,Box Score,,
Mon Feb 29 2016,8:00 pm,Houston Rockets,121,Milwaukee Bucks,128,Box Score,,
Mon Feb 29 2016,10:00 pm,Oklahoma City Thunder,131,Sacramento Kings,116,Box Score,,
Mon Feb 29 2016,7:00 pm,Philadelphia 76ers,108,Washington Wizards,116,Box Score,,
Fri Jan 1 2016,8:00 pm,New York Knicks,81,Chicago Bulls,108,Box Score,,
Fri Jan 1 2016,10:30 pm,Philadelphia 76ers,84,Los Angeles Lakers,93,Box Score,,
Fri Jan 1 2016,7:30 pm,Dallas Mavericks,82,Miami Heat,106,Box Score,,
Fri Jan 1 2016,7:30 pm,Charlotte Hornets,94,Toronto Raptors,104,Box Score,,
Fri Jan 1 2016,7:00 pm,Orlando Magic,91,Washington Wizards,103,Box Score,,
Sat Jan 2 2016,3:00 pm,Brooklyn Nets,100,Boston Celtics,97,Box Score,,
Sat Jan 2 2016,7:00 pm,Oklahoma City Thunder,109,Charlotte Hornets,90,Box Score,,
Sat Jan 2 2016,7:30 pm,Orlando Magic,79,Cleveland Cavaliers,104,Box Score,,
Sat Jan 2 2016,8:30 pm,New Orleans Pelicans,105,Dallas Mavericks,98,Box Score,,
Sat Jan 2 2016,10:30 pm,Denver Nuggets,108,Golden State Warriors,111,Box Score,OT,
Sat Jan 2 2016,7:00 pm,Detroit Pistons,82,Indiana Pacers,94,Box Score,,
Sat Jan 2 2016,10:30 pm,Philadelphia 76ers,99,Los Angeles Clippers,130,Box Score,,
Sat Jan 2 2016,8:00 pm,Milwaukee Bucks,95,Minnesota Timberwolves,85,Box Score,,
Sat Jan 2 2016,5:00 pm,Phoenix Suns,119,Sacramento Kings,142,Box Score,,
Sat Jan 2 2016,8:30 pm,Houston Rockets,103,San Antonio Spurs,121,Box Score,,
Sat Jan 2 2016,9:00 pm,Memphis Grizzlies,87,Utah Jazz,92,Box Score,OT,
Sun Jan 3 2016,9:00 pm,Portland Trail Blazers,112,Denver Nuggets,106,Box Score,,
Sun Jan 3 2016,9:30 pm,Phoenix Suns,77,Los Angeles Lakers,97,Box Score,,
Sun Jan 3 2016,3:30 pm,Atlanta Hawks,97,New York Knicks,111,Box Score,,
Sun Jan 3 2016,3:30 pm,Chicago Bulls,115,Toronto Raptors,113,Box Score,,
Sun Jan 3 2016,6:00 pm,Miami Heat,97,Washington Wizards,75,Box Score,,
Mon Jan 4 2016,7:30 pm,Boston Celtics,103,Brooklyn Nets,94,Box Score,,
Mon Jan 4 2016,7:00 pm,Toronto Raptors,100,Cleveland Cavaliers,122,Box Score,,
Mon Jan 4 2016,7:30 pm,Orlando Magic,89,Detroit Pistons,115,Box Score,,
Mon Jan 4 2016,10:30 pm,Charlotte Hornets,101,Golden State Warriors,111,Box Score,,
Mon Jan 4 2016,7:30 pm,Indiana Pacers,100,Miami Heat,103,Box Score,OT,
Mon Jan 4 2016,8:00 pm,San Antonio Spurs,123,Milwaukee Bucks,98,Box Score,,
Mon Jan 4 2016,8:00 pm,Sacramento Kings,116,Oklahoma City Thunder,104,Box Score,,
Mon Jan 4 2016,7:00 pm,Minnesota Timberwolves,99,Philadelphia 76ers,109,Box Score,,
Mon Jan 4 2016,10:00 pm,Memphis Grizzlies,91,Portland Trail Blazers,78,Box Score,,
Mon Jan 4 2016,9:00 pm,Houston Rockets,93,Utah Jazz,91,Box Score,,
Tue Jan 5 2016,8:00 pm,New York Knicks,107,Atlanta Hawks,101,Box Score,,
Tue Jan 5 2016,8:00 pm,Milwaukee Bucks,106,Chicago Bulls,117,Box Score,,
Tue Jan 5 2016,8:30 pm,Sacramento Kings,116,Dallas Mavericks,117,Box Score,2OT,
Tue Jan 5 2016,10:30 pm,Golden State Warriors,109,Los Angeles Lakers,88,Box Score,,
Wed Jan 6 2016,7:30 pm,Detroit Pistons,99,Boston Celtics,94,Box Score,,
Wed Jan 6 2016,7:30 pm,Toronto Raptors,91,Brooklyn Nets,74,Box Score,,
Wed Jan 6 2016,7:00 pm,New York Knicks,98,Miami Heat,90,Box Score,,
Wed Jan 6 2016,8:00 pm,Denver Nuggets,78,Minnesota Timberwolves,74,Box Score,,
Wed Jan 6 2016,8:00 pm,Dallas Mavericks,100,New Orleans Pelicans,91,Box Score,,
Wed Jan 6 2016,9:30 pm,Memphis Grizzlies,94,Oklahoma City Thunder,112,Box Score,,
Wed Jan 6 2016,7:00 pm,Indiana Pacers,95,Orlando Magic,86,Box Score,,
Wed Jan 6 2016,9:00 pm,Charlotte Hornets,102,Phoenix Suns,111,Box Score,,
Wed Jan 6 2016,10:00 pm,Los Angeles Clippers,109,Portland Trail Blazers,98,Box Score,,
Wed Jan 6 2016,8:30 pm,Utah Jazz,98,San Antonio Spurs,123,Box Score,,
Wed Jan 6 2016,7:00 pm,Cleveland Cavaliers,121,Washington Wizards,115,Box Score,,
Thu Jan 7 2016,8:00 pm,Boston Celtics,92,Chicago Bulls,101,Box Score,,
Thu Jan 7 2016,8:00 pm,Utah Jazz,94,Houston Rockets,103,Box Score,,
Thu Jan 7 2016,7:00 pm,Atlanta Hawks,126,Philadelphia 76ers,98,Box Score,,
Thu Jan 7 2016,10:30 pm,Los Angeles Lakers,115,Sacramento Kings,118,Box Score,,
Fri Jan 8 2016,7:30 pm,Orlando Magic,83,Brooklyn Nets,77,Box Score,,
Fri Jan 8 2016,10:30 pm,Oklahoma City Thunder,117,Los Angeles Lakers,113,Box Score,,
Fri Jan 8 2016,8:00 pm,Denver Nuggets,84,Memphis Grizzlies,91,Box Score,,
Fri Jan 8 2016,8:00 pm,Dallas Mavericks,95,Milwaukee Bucks,96,Box Score,,
Fri Jan 8 2016,8:00 pm,Cleveland Cavaliers,125,Minnesota Timberwolves,99,Box Score,,
Fri Jan 8 2016,8:00 pm,Indiana Pacers,91,New Orleans Pelicans,86,Box Score,,
Fri Jan 8 2016,9:30 pm,Miami Heat,103,Phoenix Suns,95,Box Score,,
Fri Jan 8 2016,10:00 pm,Golden State Warriors,128,Portland Trail Blazers,108,Box Score,,
Fri Jan 8 2016,8:30 pm,New York Knicks,99,San Antonio Spurs,100,Box Score,,
Fri Jan 8 2016,7:00 pm,Toronto Raptors,97,Washington Wizards,88,Box Score,,
Sat Jan 9 2016,5:00 pm,Chicago Bulls,105,Atlanta Hawks,120,Box Score,,
Sat Jan 9 2016,7:30 pm,Brooklyn Nets,89,Detroit Pistons,103,Box Score,,
Sat Jan 9 2016,3:30 pm,Charlotte Hornets,83,Los Angeles Clippers,97,Box Score,,
Sat Jan 9 2016,7:00 pm,Washington Wizards,105,Orlando Magic,99,Box Score,,
Sat Jan 9 2016,7:30 pm,Toronto Raptors,108,Philadelphia 76ers,95,Box Score,,
Sat Jan 9 2016,10:00 pm,Golden State Warriors,128,Sacramento Kings,116,Box Score,,
Sat Jan 9 2016,9:00 pm,Miami Heat,83,Utah Jazz,98,Box Score,,
Sun Jan 10 2016,8:00 pm,Charlotte Hornets,92,Denver Nuggets,95,Box Score,,
Sun Jan 10 2016,7:00 pm,Indiana Pacers,103,Houston Rockets,107,Box Score,OT,
Sun Jan 10 2016,3:30 pm,New Orleans Pelicans,111,Los Angeles Clippers,114,Box Score,OT,
Sun Jan 10 2016,9:30 pm,Utah Jazz,86,Los Angeles Lakers,74,Box Score,,
Sun Jan 10 2016,6:00 pm,Boston Celtics,98,Memphis Grizzlies,101,Box Score,,
Sun Jan 10 2016,5:00 pm,Dallas Mavericks,93,Minnesota Timberwolves,87,Box Score,,
Sun Jan 10 2016,7:30 pm,Milwaukee Bucks,88,New York Knicks,100,Box Score,,
Sun Jan 10 2016,6:00 pm,Cleveland Cavaliers,95,Philadelphia 76ers,85,Box Score,,
Sun Jan 10 2016,9:00 pm,Oklahoma City Thunder,110,Portland Trail Blazers,115,Box Score,,
Mon Jan 11 2016,7:30 pm,San Antonio Spurs,106,Brooklyn Nets,79,Box Score,,
Mon Jan 11 2016,8:00 pm,Washington Wizards,114,Chicago Bulls,100,Box Score,,
Mon Jan 11 2016,10:30 pm,Miami Heat,103,Golden State Warriors,111,Box Score,,
Tue Jan 12 2016,8:30 pm,Cleveland Cavaliers,110,Dallas Mavericks,107,Box Score,OT,
Tue Jan 12 2016,7:30 pm,San Antonio Spurs,109,Detroit Pistons,99,Box Score,,
Tue Jan 12 2016,7:00 pm,Phoenix Suns,97,Indiana Pacers,116,Box Score,,
Tue Jan 12 2016,10:30 pm,New Orleans Pelicans,91,Los Angeles Lakers,95,Box Score,,
Tue Jan 12 2016,8:00 pm,Houston Rockets,107,Memphis Grizzlies,91,Box Score,,
Tue Jan 12 2016,8:00 pm,Chicago Bulls,101,Milwaukee Bucks,106,Box Score,,
Tue Jan 12 2016,8:00 pm,Oklahoma City Thunder,101,Minnesota Timberwolves,96,Box Score,,
Tue Jan 12 2016,7:30 pm,Boston Celtics,114,New York Knicks,120,Box Score,,
Wed Jan 13 2016,8:00 pm,Indiana Pacers,94,Boston Celtics,103,Box Score,,
Wed Jan 13 2016,7:30 pm,New York Knicks,104,Brooklyn Nets,110,Box Score,,
Wed Jan 13 2016,7:00 pm,Atlanta Hawks,84,Charlotte Hornets,107,Box Score,,
Wed Jan 13 2016,9:00 pm,Golden State Warriors,110,Denver Nuggets,112,Box Score,,
Wed Jan 13 2016,8:00 pm,Minnesota Timberwolves,104,Houston Rockets,107,Box Score,,
Wed Jan 13 2016,10:30 pm,Miami Heat,90,Los Angeles Clippers,104,Box Score,,
Wed Jan 13 2016,8:00 pm,Dallas Mavericks,89,Oklahoma City Thunder,108,Box Score,,
Wed Jan 13 2016,10:00 pm,Utah Jazz,85,Portland Trail Blazers,99,Box Score,,
Wed Jan 13 2016,10:00 pm,New Orleans Pelicans,109,Sacramento Kings,97,Box Score,,
Wed Jan 13 2016,7:00 pm,Milwaukee Bucks,101,Washington Wizards,106,Box Score,,
Thu Jan 14 2016,10:30 pm,Los Angeles Lakers,98,Golden State Warriors,116,Box Score,,
Thu Jan 14 2016,8:00 pm,Detroit Pistons,101,Memphis Grizzlies,103,Box Score,,
Thu Jan 14 2016,3:00 pm,Toronto Raptors,106,Orlando Magic,103,Box Score,OT,at London England
Thu Jan 14 2016,7:00 pm,Chicago Bulls,115,Philadelphia 76ers,111,Box Score,OT,
Thu Jan 14 2016,8:00 pm,Cleveland Cavaliers,95,San Antonio Spurs,99,Box Score,,
Thu Jan 14 2016,9:00 pm,Sacramento Kings,103,Utah Jazz,101,Box Score,,
Fri Jan 15 2016,7:30 pm,Phoenix Suns,103,Boston Celtics,117,Box Score,,
Fri Jan 15 2016,7:30 pm,Portland Trail Blazers,116,Brooklyn Nets,104,Box Score,,
Fri Jan 15 2016,8:00 pm,Dallas Mavericks,83,Chicago Bulls,77,Box Score,,
Fri Jan 15 2016,9:00 pm,Miami Heat,98,Denver Nuggets,95,Box Score,,
Fri Jan 15 2016,9:30 pm,Cleveland Cavaliers,91,Houston Rockets,77,Box Score,,
Fri Jan 15 2016,7:00 pm,Washington Wizards,118,Indiana Pacers,104,Box Score,,
Fri Jan 15 2016,8:00 pm,Atlanta Hawks,101,Milwaukee Bucks,108,Box Score,OT,
Fri Jan 15 2016,8:00 pm,Charlotte Hornets,107,New Orleans Pelicans,109,Box Score,,
Fri Jan 15 2016,7:00 pm,Minnesota Timberwolves,93,Oklahoma City Thunder,113,Box Score,,
Sat Jan 16 2016,7:30 pm,Brooklyn Nets,86,Atlanta Hawks,114,Box Score,,
Sat Jan 16 2016,7:00 pm,Milwaukee Bucks,105,Charlotte Hornets,92,Box Score,,
Sat Jan 16 2016,7:30 pm,Golden State Warriors,95,Detroit Pistons,113,Box Score,,
Sat Jan 16 2016,10:30 pm,Sacramento Kings,110,Los Angeles Clippers,103,Box Score,,
Sat Jan 16 2016,8:00 pm,New York Knicks,95,Memphis Grizzlies,103,Box Score,,
Sat Jan 16 2016,7:30 pm,Portland Trail Blazers,89,Philadelphia 76ers,114,Box Score,,
Sat Jan 16 2016,9:00 pm,Los Angeles Lakers,82,Utah Jazz,109,Box Score,,
Sat Jan 16 2016,7:30 pm,Boston Celtics,119,Washington Wizards,117,Box Score,,
Sun Jan 17 2016,8:00 pm,Indiana Pacers,126,Denver Nuggets,129,Box Score,,
Sun Jan 17 2016,9:30 pm,Houston Rockets,112,Los Angeles Lakers,95,Box Score,,
Sun Jan 17 2016,3:30 pm,Phoenix Suns,87,Minnesota Timberwolves,117,Box Score,,
Sun Jan 17 2016,7:00 pm,Miami Heat,74,Oklahoma City Thunder,99,Box Score,,
Sun Jan 17 2016,7:00 pm,Dallas Mavericks,83,San Antonio Spurs,112,Box Score,,
Mon Jan 18 2016,5:00 pm,Orlando Magic,81,Atlanta Hawks,98,Box Score,,
Mon Jan 18 2016,2:00 pm,Utah Jazz,119,Charlotte Hornets,124,Box Score,2OT,
Mon Jan 18 2016,8:00 pm,Golden State Warriors,132,Cleveland Cavaliers,98,Box Score,,
Mon Jan 18 2016,8:30 pm,Boston Celtics,113,Dallas Mavericks,118,Box Score,OT,
Mon Jan 18 2016,3:30 pm,Chicago Bulls,111,Detroit Pistons,101,Box Score,,
Mon Jan 18 2016,10:30 pm,Houston Rockets,132,Los Angeles Clippers,140,Box Score,OT,
Mon Jan 18 2016,2:30 pm,New Orleans Pelicans,99,Memphis Grizzlies,101,Box Score,,
Mon Jan 18 2016,1:00 pm,Philadelphia 76ers,113,New York Knicks,119,Box Score,2OT,
Mon Jan 18 2016,7:30 pm,Brooklyn Nets,100,Toronto Raptors,112,Box Score,,
Mon Jan 18 2016,2:00 pm,Portland Trail Blazers,108,Washington Wizards,98,Box Score,,
Tue Jan 19 2016,9:00 pm,Oklahoma City Thunder,110,Denver Nuggets,104,Box Score,,
Tue Jan 19 2016,7:30 pm,Milwaukee Bucks,91,Miami Heat,79,Box Score,,
Tue Jan 19 2016,8:00 pm,Minnesota Timberwolves,99,New Orleans Pelicans,114,Box Score,,
Tue Jan 19 2016,9:00 pm,Indiana Pacers,97,Phoenix Suns,94,Box Score,,
Wed Jan 20 2016,7:30 pm,Cleveland Cavaliers,91,Brooklyn Nets,78,Box Score,,
Wed Jan 20 2016,8:00 pm,Golden State Warriors,125,Chicago Bulls,94,Box Score,,
Wed Jan 20 2016,8:30 pm,Minnesota Timberwolves,94,Dallas Mavericks,106,Box Score,OT,
Wed Jan 20 2016,8:00 pm,Detroit Pistons,123,Houston Rockets,114,Box Score,,
Wed Jan 20 2016,10:30 pm,Sacramento Kings,112,Los Angeles Lakers,93,Box Score,,
Wed Jan 20 2016,7:30 pm,Utah Jazz,111,New York Knicks,118,Box Score,OT,
Wed Jan 20 2016,8:00 pm,Charlotte Hornets,95,Oklahoma City Thunder,109,Box Score,,
Wed Jan 20 2016,7:00 pm,Philadelphia 76ers,96,Orlando Magic,87,Box Score,,
Wed Jan 20 2016,10:30 pm,Atlanta Hawks,104,Portland Trail Blazers,98,Box Score,,
Wed Jan 20 2016,7:30 pm,Boston Celtics,109,Toronto Raptors,115,Box Score,,
Wed Jan 20 2016,7:00 pm,Miami Heat,87,Washington Wizards,106,Box Score,,
Thu Jan 21 2016,8:00 pm,Los Angeles Clippers,102,Cleveland Cavaliers,115,Box Score,,
Thu Jan 21 2016,9:00 pm,Memphis Grizzlies,102,Denver Nuggets,101,Box Score,,
Thu Jan 21 2016,8:00 pm,Detroit Pistons,99,New Orleans Pelicans,115,Box Score,,
Thu Jan 21 2016,10:30 pm,San Antonio Spurs,117,Phoenix Suns,89,Box Score,,
Thu Jan 21 2016,10:00 pm,Atlanta Hawks,88,Sacramento Kings,91,Box Score,,
Fri Jan 22 2016,7:30 pm,Chicago Bulls,101,Boston Celtics,110,Box Score,,
Fri Jan 22 2016,7:30 pm,Utah Jazz,108,Brooklyn Nets,86,Box Score,,
Fri Jan 22 2016,8:30 pm,Oklahoma City Thunder,109,Dallas Mavericks,106,Box Score,,
Fri Jan 22 2016,10:30 pm,Indiana Pacers,110,Golden State Warriors,122,Box Score,,
Fri Jan 22 2016,8:00 pm,Milwaukee Bucks,98,Houston Rockets,102,Box Score,,
Fri Jan 22 2016,10:30 pm,San Antonio Spurs,108,Los Angeles Lakers,95,Box Score,,
Fri Jan 22 2016,7:30 pm,Los Angeles Clippers,116,New York Knicks,88,Box Score,,
Fri Jan 22 2016,7:00 pm,Charlotte Hornets,120,Orlando Magic,116,Box Score,OT,
Fri Jan 22 2016,8:00 pm,Miami Heat,81,Toronto Raptors,101,Box Score,,
Sat Jan 23 2016,7:00 pm,New York Knicks,84,Charlotte Hornets,97,Box Score,,
Sat Jan 23 2016,8:30 pm,Chicago Bulls,96,Cleveland Cavaliers,83,Box Score,,
Sat Jan 23 2016,9:30 pm,Detroit Pistons,101,Denver Nuggets,104,Box Score,,
Sat Jan 23 2016,8:00 pm,Memphis Grizzlies,101,Minnesota Timberwolves,106,Box Score,,
Sat Jan 23 2016,7:00 pm,Milwaukee Bucks,99,New Orleans Pelicans,116,Box Score,,
Sat Jan 23 2016,9:00 pm,Atlanta Hawks,95,Phoenix Suns,98,Box Score,,
Sat Jan 23 2016,10:30 pm,Los Angeles Lakers,103,Portland Trail Blazers,121,Box Score,,
Sat Jan 23 2016,10:30 pm,Indiana Pacers,97,Sacramento Kings,108,Box Score,,
Sun Jan 24 2016,7:30 pm,Oklahoma City Thunder,106,Brooklyn Nets,116,Box Score,,
Sun Jan 24 2016,3:30 pm,Dallas Mavericks,104,Houston Rockets,115,Box Score,,
Sun Jan 24 2016,7:00 pm,Boston Celtics,112,Philadelphia 76ers,92,Box Score,,
Sun Jan 24 2016,6:00 pm,Los Angeles Clippers,94,Toronto Raptors,112,Box Score,,
Mon Jan 25 2016,8:00 pm,Miami Heat,89,Chicago Bulls,84,Box Score,,
Mon Jan 25 2016,7:00 pm,Minnesota Timberwolves,107,Cleveland Cavaliers,114,Box Score,,
Mon Jan 25 2016,9:00 pm,Atlanta Hawks,119,Denver Nuggets,105,Box Score,,
Mon Jan 25 2016,10:30 pm,San Antonio Spurs,90,Golden State Warriors,120,Box Score,,
Mon Jan 25 2016,8:00 pm,Orlando Magic,102,Memphis Grizzlies,108,Box Score,OT,
Mon Jan 25 2016,8:00 pm,Houston Rockets,112,New Orleans Pelicans,111,Box Score,,
Mon Jan 25 2016,10:00 pm,Charlotte Hornets,129,Sacramento Kings,128,Box Score,2OT,
Mon Jan 25 2016,9:00 pm,Detroit Pistons,95,Utah Jazz,92,Box Score,,
Mon Jan 25 2016,7:00 pm,Boston Celtics,116,Washington Wizards,91,Box Score,,
Tue Jan 26 2016,7:30 pm,Miami Heat,102,Brooklyn Nets,98,Box Score,,
Tue Jan 26 2016,7:00 pm,Los Angeles Clippers,91,Indiana Pacers,89,Box Score,,
Tue Jan 26 2016,10:30 pm,Dallas Mavericks,92,Los Angeles Lakers,90,Box Score,,
Tue Jan 26 2016,8:00 pm,Orlando Magic,100,Milwaukee Bucks,107,Box Score,,
Tue Jan 26 2016,7:30 pm,Oklahoma City Thunder,128,New York Knicks,122,Box Score,OT,
Tue Jan 26 2016,7:00 pm,Phoenix Suns,103,Philadelphia 76ers,113,Box Score,,
Tue Jan 26 2016,10:00 pm,Sacramento Kings,97,Portland Trail Blazers,112,Box Score,,
Tue Jan 26 2016,7:30 pm,Washington Wizards,89,Toronto Raptors,106,Box Score,,
Wed Jan 27 2016,8:00 pm,Los Angeles Clippers,85,Atlanta Hawks,83,Box Score,,
Wed Jan 27 2016,7:30 pm,Denver Nuggets,103,Boston Celtics,111,Box Score,,
Wed Jan 27 2016,7:00 pm,Phoenix Suns,93,Cleveland Cavaliers,115,Box Score,,
Wed Jan 27 2016,7:30 pm,Philadelphia 76ers,97,Detroit Pistons,110,Box Score,,
Wed Jan 27 2016,10:30 pm,Dallas Mavericks,107,Golden State Warriors,127,Box Score,,
Wed Jan 27 2016,8:00 pm,Oklahoma City Thunder,126,Minnesota Timberwolves,123,Box Score,,
Wed Jan 27 2016,8:00 pm,Houston Rockets,99,San Antonio Spurs,130,Box Score,,
Wed Jan 27 2016,9:00 pm,Charlotte Hornets,73,Utah Jazz,102,Box Score,,
Thu Jan 28 2016,7:00 pm,Atlanta Hawks,92,Indiana Pacers,111,Box Score,,
Thu Jan 28 2016,10:30 pm,Chicago Bulls,114,Los Angeles Lakers,91,Box Score,,
Thu Jan 28 2016,8:00 pm,Milwaukee Bucks,83,Memphis Grizzlies,103,Box Score,,
Thu Jan 28 2016,8:00 pm,Sacramento Kings,105,New Orleans Pelicans,114,Box Score,,
Thu Jan 28 2016,8:00 pm,New York Knicks,93,Toronto Raptors,103,Box Score,,
Thu Jan 28 2016,7:00 pm,Denver Nuggets,117,Washington Wizards,113,Box Score,,
Fri Jan 29 2016,7:30 pm,Orlando Magic,94,Boston Celtics,113,Box Score,,
Fri Jan 29 2016,8:30 pm,Brooklyn Nets,79,Dallas Mavericks,91,Box Score,,
Fri Jan 29 2016,7:30 pm,Cleveland Cavaliers,114,Detroit Pistons,106,Box Score,,
Fri Jan 29 2016,10:30 pm,Los Angeles Lakers,93,Los Angeles Clippers,105,Box Score,,
Fri Jan 29 2016,8:00 pm,Miami Heat,107,Milwaukee Bucks,103,Box Score,,
Fri Jan 29 2016,7:30 pm,Phoenix Suns,84,New York Knicks,102,Box Score,,
Fri Jan 29 2016,8:00 pm,Houston Rockets,108,Oklahoma City Thunder,116,Box Score,,
Fri Jan 29 2016,10:00 pm,Charlotte Hornets,91,Portland Trail Blazers,109,Box Score,,
Fri Jan 29 2016,9:00 pm,Minnesota Timberwolves,90,Utah Jazz,103,Box Score,,
Sat Jan 30 2016,8:30 pm,San Antonio Spurs,103,Cleveland Cavaliers,117,Box Score,,
Sat Jan 30 2016,8:00 pm,Washington Wizards,123,Houston Rockets,122,Box Score,,
Sat Jan 30 2016,7:00 pm,Denver Nuggets,105,Indiana Pacers,109,Box Score,OT,
Sat Jan 30 2016,8:00 pm,Sacramento Kings,117,Memphis Grizzlies,121,Box Score,,
Sat Jan 30 2016,7:00 pm,Brooklyn Nets,103,New Orleans Pelicans,105,Box Score,,
Sat Jan 30 2016,5:00 pm,Golden State Warriors,108,Philadelphia 76ers,105,Box Score,,
Sat Jan 30 2016,6:30 pm,Detroit Pistons,107,Toronto Raptors,111,Box Score,,
Sun Jan 31 2016,7:00 pm,Phoenix Suns,78,Dallas Mavericks,91,Box Score,,
Sun Jan 31 2016,3:30 pm,Chicago Bulls,93,Los Angeles Clippers,120,Box Score,,
Sun Jan 31 2016,9:30 pm,Charlotte Hornets,101,Los Angeles Lakers,82,Box Score,,
Sun Jan 31 2016,6:00 pm,Atlanta Hawks,87,Miami Heat,105,Box Score,,
Sun Jan 31 2016,7:30 pm,Golden State Warriors,116,New York Knicks,95,Box Score,,
Sun Jan 31 2016,6:00 pm,Boston Celtics,114,Orlando Magic,119,Box Score,,
Sun Jan 31 2016,9:00 pm,Minnesota Timberwolves,93,Portland Trail Blazers,96,Box Score,,
Tue Dec 1 2015,7:30 pm,Phoenix Suns,91,Brooklyn Nets,94,Box Score,,
Tue Dec 1 2015,7:00 pm,Washington Wizards,97,Cleveland Cavaliers,85,Box Score,,
Tue Dec 1 2015,8:00 pm,Orlando Magic,96,Minnesota Timberwolves,93,Box Score,,
Tue Dec 1 2015,8:00 pm,Memphis Grizzlies,113,New Orleans Pelicans,104,Box Score,,
Tue Dec 1 2015,7:00 pm,Los Angeles Lakers,91,Philadelphia 76ers,103,Box Score,,
Tue Dec 1 2015,10:00 pm,Dallas Mavericks,115,Portland Trail Blazers,112,Box Score,OT,
Wed Dec 2 2015,8:00 pm,Toronto Raptors,96,Atlanta Hawks,86,Box Score,,
Wed Dec 2 2015,8:00 pm,Denver Nuggets,90,Chicago Bulls,99,Box Score,,
Wed Dec 2 2015,7:00 pm,Golden State Warriors,116,Charlotte Hornets,99,Box Score,,
Wed Dec 2 2015,7:30 pm,Phoenix Suns,122,Detroit Pistons,127,Box Score,OT,
Wed Dec 2 2015,8:00 pm,New Orleans Pelicans,101,Houston Rockets,108,Box Score,,
Wed Dec 2 2015,10:30 pm,Indiana Pacers,103,Los Angeles Clippers,91,Box Score,,
Wed Dec 2 2015,7:30 pm,Philadelphia 76ers,87,New York Knicks,99,Box Score,,
Wed Dec 2 2015,8:30 pm,Milwaukee Bucks,70,San Antonio Spurs,95,Box Score,,
Wed Dec 2 2015,7:00 pm,Los Angeles Lakers,108,Washington Wizards,104,Box Score,,
Thu Dec 3 2015,9:30 pm,San Antonio Spurs,103,Memphis Grizzlies,83,Box Score,,
Thu Dec 3 2015,7:00 pm,Oklahoma City Thunder,95,Miami Heat,97,Box Score,,
Thu Dec 3 2015,10:00 pm,Indiana Pacers,111,Portland Trail Blazers,123,Box Score,,
Thu Dec 3 2015,10:00 pm,Boston Celtics,114,Sacramento Kings,97,Box Score,,at Mexico City Mexico
Thu Dec 3 2015,7:30 pm,Denver Nuggets,106,Toronto Raptors,105,Box Score,,
Thu Dec 3 2015,9:00 pm,Orlando Magic,103,Utah Jazz,94,Box Score,,
Fri Dec 4 2015,8:00 pm,Los Angeles Lakers,87,Atlanta Hawks,100,Box Score,,
Fri Dec 4 2015,8:30 pm,Houston Rockets,100,Dallas Mavericks,96,Box Score,,
Fri Dec 4 2015,7:30 pm,Milwaukee Bucks,95,Detroit Pistons,102,Box Score,,
Fri Dec 4 2015,9:30 pm,Cleveland Cavaliers,108,New Orleans Pelicans,114,Box Score,OT,
Fri Dec 4 2015,7:00 pm,Brooklyn Nets,91,New York Knicks,108,Box Score,,
Fri Dec 4 2015,7:00 pm,Phoenix Suns,106,Washington Wizards,109,Box Score,,
Sat Dec 5 2015,8:00 pm,Charlotte Hornets,102,Chicago Bulls,96,Box Score,,
Sat Dec 5 2015,8:00 pm,Sacramento Kings,113,Houston Rockets,120,Box Score,,
Sat Dec 5 2015,10:30 pm,Orlando Magic,101,Los Angeles Clippers,103,Box Score,,
Sat Dec 5 2015,8:00 pm,Cleveland Cavaliers,84,Miami Heat,99,Box Score,,
Sat Dec 5 2015,8:30 pm,New York Knicks,91,Milwaukee Bucks,106,Box Score,,
