Date,Start,Visitor,PTS,Home,PTS,,,Notes
Mon Mar 6 2017,8:00 pm,Brooklyn Nets,122,Memphis Grizzlies,109,Box Score,,
Mon Mar 6 2017,7:00 pm,New York Knicks,113,Orlando Magic,105,Box Score,,
Mon Mar 6 2017,7:00 pm,Milwaukee Bucks,112,Philadelphia 76ers,98,Box Score,,
Mon Mar 6 2017,8:30 pm,Houston Rockets,110,San Antonio Spurs,112,Box Score,,
Mon Mar 6 2017,9:00 pm,New Orleans Pelicans,83,Utah Jazz,88,Box Score,,
Tue Mar 7 2017,8:30 pm,Los Angeles Lakers,111,Dallas Mavericks,122,Box Score,,
Tue Mar 7 2017,8:00 pm,Portland Trail Blazers,126,Oklahoma City Thunder,121,Box Score,,
Tue Mar 7 2017,9:00 pm,Washington Wizards,131,Phoenix Suns,127,Box Score,,
Wed Mar 8 2017,7:30 pm,Brooklyn Nets,105,Atlanta Hawks,110,Box Score,,
Wed Mar 8 2017,9:00 pm,Washington Wizards,123,Denver Nuggets,113,Box Score,,
Wed Mar 8 2017,10:30 pm,Boston Celtics,99,Golden State Warriors,86,Box Score,,
Wed Mar 8 2017,8:00 pm,Utah Jazz,115,Houston Rockets,108,Box Score,,
Wed Mar 8 2017,8:00 pm,Detroit Pistons,98,Indiana Pacers,115,Box Score,,
Wed Mar 8 2017,7:30 pm,Charlotte Hornets,101,Miami Heat,108,Box Score,,
Wed Mar 8 2017,8:00 pm,New York Knicks,93,Milwaukee Bucks,104,Box Score,,
Wed Mar 8 2017,8:00 pm,Los Angeles Clippers,91,Minnesota Timberwolves,107,Box Score,,
Wed Mar 8 2017,8:00 pm,Toronto Raptors,94,New Orleans Pelicans,87,Box Score,,
Wed Mar 8 2017,7:00 pm,Chicago Bulls,91,Orlando Magic,98,Box Score,,
Wed Mar 8 2017,8:30 pm,Sacramento Kings,104,San Antonio Spurs,114,Box Score,,
Thu Mar 9 2017,7:30 pm,Cleveland Cavaliers,101,Detroit Pistons,106,Box Score,,
Thu Mar 9 2017,8:00 pm,Los Angeles Clippers,114,Memphis Grizzlies,98,Box Score,,
Thu Mar 9 2017,8:00 pm,San Antonio Spurs,92,Oklahoma City Thunder,102,Box Score,,
Thu Mar 9 2017,10:30 pm,Los Angeles Lakers,122,Phoenix Suns,110,Box Score,,
Thu Mar 9 2017,10:00 pm,Philadelphia 76ers,108,Portland Trail Blazers,114,Box Score,OT,
Fri Mar 10 2017,8:00 pm,Toronto Raptors,99,Atlanta Hawks,105,Box Score,,
Fri Mar 10 2017,8:00 pm,Houston Rockets,115,Chicago Bulls,94,Box Score,,
Fri Mar 10 2017,7:00 pm,Orlando Magic,81,Charlotte Hornets,121,Box Score,,
Fri Mar 10 2017,9:00 pm,Brooklyn Nets,96,Dallas Mavericks,105,Box Score,,
Fri Mar 10 2017,9:00 pm,Boston Celtics,99,Denver Nuggets,119,Box Score,,
Fri Mar 10 2017,8:00 pm,Indiana Pacers,85,Milwaukee Bucks,99,Box Score,,
Fri Mar 10 2017,8:00 pm,Golden State Warriors,102,Minnesota Timberwolves,103,Box Score,,
Fri Mar 10 2017,10:30 pm,Washington Wizards,130,Sacramento Kings,122,Box Score,OT,
Sat Mar 11 2017,7:00 pm,New Orleans Pelicans,125,Charlotte Hornets,122,Box Score,OT,
Sat Mar 11 2017,9:00 pm,Phoenix Suns,100,Dallas Mavericks,98,Box Score,,
Sat Mar 11 2017,5:00 pm,New York Knicks,92,Detroit Pistons,112,Box Score,,
Sat Mar 11 2017,3:30 pm,Philadelphia 76ers,100,Los Angeles Clippers,112,Box Score,,
Sat Mar 11 2017,9:00 pm,Atlanta Hawks,107,Memphis Grizzlies,90,Box Score,,
Sat Mar 11 2017,8:00 pm,Toronto Raptors,89,Miami Heat,104,Box Score,,
Sat Mar 11 2017,8:00 pm,Minnesota Timberwolves,95,Milwaukee Bucks,102,Box Score,,
Sat Mar 11 2017,3:00 pm,Utah Jazz,104,Oklahoma City Thunder,112,Box Score,,
Sat Mar 11 2017,7:00 pm,Cleveland Cavaliers,116,Orlando Magic,104,Box Score,,
Sat Mar 11 2017,10:00 pm,Washington Wizards,125,Portland Trail Blazers,124,Box Score,OT,
Sat Mar 11 2017,10:30 pm,Denver Nuggets,105,Sacramento Kings,92,Box Score,,
Sat Mar 11 2017,8:30 pm,Golden State Warriors,85,San Antonio Spurs,107,Box Score,,
Sun Mar 12 2017,3:30 pm,Chicago Bulls,80,Boston Celtics,100,Box Score,,
Sun Mar 12 2017,6:00 pm,New York Knicks,112,Brooklyn Nets,120,Box Score,,
Sun Mar 12 2017,9:00 pm,Cleveland Cavaliers,112,Houston Rockets,117,Box Score,,
Sun Mar 12 2017,6:00 pm,Miami Heat,98,Indiana Pacers,102,Box Score,,
Sun Mar 12 2017,9:30 pm,Philadelphia 76ers,118,Los Angeles Lakers,116,Box Score,,
Sun Mar 12 2017,9:00 pm,Portland Trail Blazers,110,Phoenix Suns,101,Box Score,,
Mon Mar 13 2017,7:00 pm,Chicago Bulls,115,Charlotte Hornets,109,Box Score,,
Mon Mar 13 2017,10:30 pm,Los Angeles Lakers,101,Denver Nuggets,129,Box Score,,
Mon Mar 13 2017,8:00 pm,Milwaukee Bucks,93,Memphis Grizzlies,113,Box Score,,
Mon Mar 13 2017,8:00 pm,Washington Wizards,104,Minnesota Timberwolves,119,Box Score,,
Mon Mar 13 2017,10:30 pm,Orlando Magic,115,Sacramento Kings,120,Box Score,,
Mon Mar 13 2017,8:00 pm,Atlanta Hawks,99,San Antonio Spurs,107,Box Score,,
Mon Mar 13 2017,7:30 pm,Dallas Mavericks,78,Toronto Raptors,100,Box Score,,
Mon Mar 13 2017,9:00 pm,Los Angeles Clippers,108,Utah Jazz,114,Box Score,,
Tue Mar 14 2017,7:30 pm,Oklahoma City Thunder,122,Brooklyn Nets,104,Box Score,,
Tue Mar 14 2017,7:00 pm,Detroit Pistons,96,Cleveland Cavaliers,128,Box Score,,
Tue Mar 14 2017,10:30 pm,Philadelphia 76ers,104,Golden State Warriors,106,Box Score,,
Tue Mar 14 2017,8:00 pm,Portland Trail Blazers,77,New Orleans Pelicans,100,Box Score,,
